processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBIR10362-19	KX012872	9768756	NZG:BWP36453		Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				-28.5536	24.7525	Coordinates from country centroid						South Africa													
GBIR10369-19	KX012892	9768770	NZG:BWP36496		Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				-28.5536	24.7525	Coordinates from country centroid						South Africa													
GBIR10993-19	MG263834	9770008	1283ULA		Mined from GenBank, NCBI		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	88975	Bubo magellanicus					Lesson, 1828																				-34.2717	-71.2968							Chile													
GBIR10994-19	MG681084	9770010			Mined from GenBank, NCBI		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBIR10995-19	NC_038220	9770012			Mined from GenBank, NCBI		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBIR413-07	EF515807	651390	EF515807		Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																												South Korea													
GBMIN134086-17	KU748103	8495009		KU748103	Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo							Duméril, 1805																				0.689918	37.9531	Coordinates from country centroid						Kenya													
GBMIN134087-17	KU748105	8495010		KU748105	Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				0.689918	37.9531	Coordinates from country centroid						Kenya													
GBMIN134089-17	KU748108	8495012		KU748108	Mined from GenBank, NCBI		BOLD:ADK6340	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo							Duméril, 1805																				0.689918	37.9531	Coordinates from country centroid						Kenya													
GBMIN134207-17	KX012891	8495130		KX012891	Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				-28.5536	24.7525	Coordinates from country centroid						South Africa													
GBMIN134210-17	KX012896	8495133		KX012896	Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				-28.5536	24.7525	Coordinates from country centroid						South Africa													
GBMNA11632-19	MG681083	9628630		MG681083	Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBMNA16932-19	AB918148	9634440		AB918148	Mined from GenBank, NCBI			18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBMNA18910-19	LC099100	9636418		LC099100	Mined from GenBank, NCBI		BOLD:AAX0363	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo							Duméril, 1805																																									
GBMNA18912-19	LC099102	9636420		LC099102	Mined from GenBank, NCBI		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBMNA18913-19	LC099103	9636421		LC099103	Mined from GenBank, NCBI		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBMNA18914-19	LC099104	9636422		LC099104	Mined from GenBank, NCBI		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBMNA18915-19	LC099105	9636423		LC099105	Mined from GenBank, NCBI		BOLD:ADS0028	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBMNA18916-19	LC099106	9636424		LC099106	Mined from GenBank, NCBI		BOLD:ADS0028	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBMNB653-20	MK932885	11545759	KU485		Mined from GenBank, NCBI		BOLD:AED6790	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114384	Bubo sumatranus					Raffles, 1822																				13.6622	101.087	Coordinates from country centroid						Thailand													
GBMNB658-20	MK932890	11545764	R80		Mined from GenBank, NCBI		BOLD:AED9941	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114380	Bubo nipalensis					Hodgson, 1836																				13.6622	101.087	Coordinates from country centroid						Thailand													
HCBR067-03	1B-2759	4255	1B-2759		Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758													U							55	-125							Canada	British Columbia												
HCBR161-03	1B-2569	4345	1B-2569		Royal Ontario Museum		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788													U							45.25	-81.6667							Canada	Ontario	Tobermory	Cape Hurd Rd										
